Age,Gender,Locality,Marital Status,Category,Economic Status,Institution type,Affiliation,Mode of Study,Undergraduate,Postgraduate,Semester,Mother's Education ,Father's Education ,Pre-Owned Disease - Mental,Pre-Owned Disease - Physical ,"PI [In case of some difficult subjects, I can't concentrate in the class.]",PI [While listening to the lectures I keep on making movements.],PI [I become uneasy or uncomfortable about my inability to take the decision about which subject and how much should I study.],PI [I feel like postponing study plan.],PI [I feel to bunk lectures when I do not understand class lectures.],PI [I become uncomfortable as I do not concentrate on my study.],PI [I experience heaviness of head while studying some subjects.],PI [I become anxious with a thought that I have a low intellectual level.],PI [I become uneasy when I fail to remember my study.],PI [I become fatigued after the study.],PI [I experience heaviness in the head when I see books and notes.],PI [I become uneasy with the idea of whether to play or study.],"PI [While studying, I feel that some subjects are beyond my grasp.]",PI [I experience duality of mind whether the selected curriculum is proper or improper for me.],"PI [Due to the dislike for some subjects, I do not feel like studying.]",PI [I am in the habit of daydreaming while listening to the lectures or studying.],IPT [I get bored with uninterested teaching.],IPT [I am afraid of examinations due to the incomplete syllabus.],IPT [I become restless when I realize that my friends have completed their study.],IPT [There is a burden of high expectations of teachers upon me.],IPT [I get irritated due to the teacher's partiality.],"IPT [I become uneasy when my friends who get the same marks like me, are appreciated by others.]",IPT [I become uncomfortable when I do not get the appointment of the teachers for clearing my doubts.],IPT [I have to study regularly in order to get more marks than my friends.],IPT [I feel like avoiding the college as my friends tease me.],IPT [I get angry because some teachers avoid lectures.],IPT [I have a pressure of completing home assignments in time.],IPT [I become frightened while answering the questions asked by the teachers.],IPT [I feel the pressure of teachers' strict discipline.],IPT [I become uneasy when I waste my time in the company of my friends.],IPT [I feel pressure while communicating with teachers due to the internal disputes between them.],IPT [I dare not asking questions to the teachers.],"IPT [Due to the grouping of students, I always feel under the pressure.]",FE [I become restless due to the non-preparation in the examination.],FE [I become sad or nervous with the idea of getting fewer marks in the examination.],FE [I become irritated because I do not get enough sleep during the examination.],FE [It troubles me that I might fell sick during the examination.],FE [I have become insensitive due to exhaustive study.],FE [I experience the problem of indigestion during examination time.],FE [I become frightened while entering the examination hall.],FE [I am afraid of failure in the examination despite good study.],FE [I frequently become sick during the examination.],FE [I don't have sound sleep due to the thoughts of examination.],FE [I become tense due to the incomplete study of some subjects.],IFC [I become unenthusiastic due to the non-ventilated atmosphere in the classroom.],IFC [I become angry due to the non-cooperation of the non-teaching staff.],IFC [I become nervous if I do not get a seat in the study room.],IFC [I get bored due to non-ventilated classrooms.],IFC [The constant noise around the college campus troubles me.],IFC [Academic overload makes me tired.],IFC [I become fatigued due to the busy academic schedule of college.],IFC [I feel like taking holiday due to the academic burden.],"IFC [Due to unavailability of expert teachers and inadequate subject knowledge of teachers, I become uncomfortable.]",PE&SES [I feel the pressure of strict disciplined parents.],PE&SES [I get tired adjusting with study and household duties.],PE&SES [There is a pressure of parents on me to get highest marks.],PE&SES [I become nervous as I can't participate in trip due to financial problems.],PE&SES [There is a pressure of parents on me to study hard instead of wasting time in the company of friends.],PE&SES [The financial problem of my family makes me anxious.],PE&SES [I am irritated with the constant suggestions by the parents for study.],PE&SES [There is a pressure of returning home early from the college.],PE&SES [I become sad because I cannot enjoy like my other friends due to financial problems.],PE&SES [There is a pressure of parents on me to score more marks than my friends.],PE&SES [I feel nervous because I can't purchase reference books or notes in time.],PE&SES [I suffer from an inferiority complex because the social status of my family is low compared to friends.],PE&SES [There is a pressure of parents on me to participate in extracurricular activities.],PI_Score,IPT_Score,FE_Score,IFC_Score,PESES_Score,Total_Stress_Score
Between 18 to 25,Male,Urban,Unmarried,General,Below Poverty Line (BPL),College,Government,Regular mode,Arts,Arts,Fifth,Intermediate,Intermediate,No,No,3,3,4,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,50,53,34,28,40,205
Between 18 to 25,Female,Rural,Unmarried,General,Below Poverty Line (BPL),College,Private,Regular mode,Arts,Arts,First,Above Graduation,Literate,No,No,5,1,5,2,4,3,5,2,2,5,2,5,3,5,3,4,5,2,5,3,4,2,4,2,5,3,5,2,5,4,3,5,3,2,2,2,2,4,5,2,5,2,5,1,5,3,5,1,5,3,5,2,1,3,5,2,5,2,3,2,5,2,5,4,2,5,56,62,32,30,45,225
Between 18 to 25,Male,Urban,Unmarried,General,Below Poverty Line (BPL),College,Government,Regular mode,Arts,Not Applicable,First,Literate,Literate,No,No,4,2,3,3,2,4,5,4,4,4,3,2,5,5,4,3,5,4,2,3,4,2,3,3,2,3,4,3,4,3,4,3,3,4,4,4,3,4,3,4,4,2,4,4,5,4,3,4,3,3,4,3,2,4,4,4,4,4,4,4,4,4,3,3,2,3,57,55,40,31,47,230
Between 18 to 25,Female,Rural,Unmarried,Scheduled Caste,Below Poverty Line (BPL),College,Government,Regular mode,Arts,Arts,Third,Literate,Literate,No,No,5,4,3,4,5,5,3,5,4,5,4,5,4,5,4,4,5,4,4,5,4,4,3,4,3,4,5,4,3,4,5,4,5,5,4,4,4,4,3,4,4,5,4,5,3,4,4,4,5,3,4,5,4,4,5,3,4,5,4,5,4,4,5,3,4,4,69,70,46,36,54,275
Between 18 to 25,Male,Urban,Unmarried,Other Backward Classes (OBC),Below Poverty Line (BPL),College,Government,Regular mode,Arts,Arts,Fifth,Literate,Literate,No,No,4,4,4,4,2,4,4,2,4,4,2,4,4,4,4,4,4,4,4,4,2,4,4,4,2,2,4,4,4,4,3,2,4,4,4,4,2,2,2,4,4,1,4,4,4,2,3,4,4,4,4,4,3,4,4,4,4,4,4,2,4,4,4,4,2,3,58,59,35,32,47,231
Between 18 to 25,Female,Urban,Unmarried,General,Above Poverty Line (APL),University,Government,Regular mode,Arts,Arts,First,Intermediate,Intermediate,No,No,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,5,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,80,67,55,45,65,312
Between 18 to 25,Female,Rural,Unmarried,General,Below Poverty Line (BPL),College,Private,Regular mode,Arts,Arts,Fifth,Intermediate,Intermediate,No,No,3,5,3,3,3,4,4,3,3,4,4,4,4,4,4,5,3,4,3,2,4,2,4,2,4,2,4,2,3,2,4,3,3,3,3,3,3,2,3,3,3,4,3,3,3,4,5,3,4,3,5,4,3,4,4,4,5,3,5,3,3,3,3,3,3,3,60,51,33,34,46,224
Between 18 to 25,Male,Rural,Unmarried,General,Above Poverty Line (APL),College,Government,Regular mode,Not Applicable,Not Applicable,Third,Literate,Graduate,No,No,4,4,4,5,4,5,4,3,5,4,4,4,3,4,4,3,4,4,4,3,3,4,4,4,3,5,3,5,4,4,4,5,3,5,5,5,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,3,4,3,4,4,3,4,4,3,3,3,4,2,2,4,64,66,45,35,43,253
Between 18 to 25,Female,Rural,Unmarried,Scheduled Caste,Above Poverty Line (APL),College,Government,Regular mode,Arts,Arts,Third,Above Graduation,Above Graduation,No,No,3,3,4,3,3,3,4,4,3,4,3,3,4,5,3,4,3,4,4,5,4,3,5,4,3,5,4,3,4,4,3,4,4,4,5,3,4,3,4,5,3,5,4,4,5,4,5,3,4,5,3,4,3,3,4,5,4,5,3,5,5,4,4,4,5,3,56,66,44,36,54,256
Between 18 to 25,Male,Rural,Unmarried,General,Below Poverty Line (BPL),College,Government,Regular mode,Arts,Arts,Third,Literate,Literate,No,No,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,64,69,44,36,52,265
Between 18 to 25,Female,Urban,Unmarried,Scheduled Caste,Below Poverty Line (BPL),College,Government,Regular mode,Arts,Arts,Third,Intermediate,Intermediate,No,No,3,4,3,4,3,4,4,4,4,3,4,4,3,5,4,3,5,4,3,4,5,3,5,4,4,4,3,4,4,5,4,3,4,5,4,4,4,5,5,3,4,5,3,5,5,3,4,5,4,5,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,59,68,47,38,53,265
Between 18 to 25,Male,Rural,Unmarried,General,Below Poverty Line (BPL),University,Government,Regular mode,Arts,Arts,Fifth,Literate,Literate,No,No,4,2,2,1,4,4,4,3,3,5,1,2,1,4,4,1,4,4,2,4,5,3,5,2,1,4,3,2,3,2,2,2,2,3,4,2,5,3,1,2,5,3,4,3,4,3,4,4,2,2,2,4,3,4,4,1,2,1,2,1,2,2,2,3,2,3,45,50,35,28,29,187
Between 18 to 25,Female,Urban,Unmarried,General,Above Poverty Line (APL),College,Government,Regular mode,Arts,Arts,Third,Intermediate,Intermediate,No,No,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,64,68,44,36,52,264
Between 18 to 25,Female,Rural,Unmarried,General,Below Poverty Line (BPL),College,Government,Regular mode,Arts,Arts,Fifth,Literate,Literate,No,No,3,3,3,3,3,3,4,4,4,4,4,3,4,3,4,3,3,3,4,4,3,4,4,4,3,4,4,3,3,3,3,4,4,4,4,3,4,3,3,4,3,3,4,4,3,4,4,4,4,3,3,3,3,4,3,4,3,4,4,4,3,4,3,4,3,4,55,60,39,31,47,232
Between 18 to 25,Female,Urban,Unmarried,Scheduled Caste,Above Poverty Line (APL),University,Government,Regular mode,Arts,Arts,First,Literate,Literate,No,No,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,32,34,22,18,26,132
Between 18 to 25,Female,Rural,Unmarried,General,Below Poverty Line (BPL),University,Government,Regular mode,Arts,Arts,Fifth,Intermediate,Intermediate,No,No,3,3,3,3,3,3,3,2,2,2,1,2,3,3,2,2,1,1,3,1,3,2,1,2,2,3,1,3,3,3,1,1,1,3,1,3,3,1,3,1,3,3,1,3,1,3,1,1,3,1,3,1,3,1,2,3,2,1,3,3,3,1,1,1,1,3,40,32,25,17,25,139
Between 18 to 25,Male,Urban,Unmarried,Other Backward Classes (OBC),Above Poverty Line (APL),College,Government,Regular mode,Arts,Arts,Fifth,Graduate,Graduate,No,No,4,2,4,4,2,4,4,2,2,4,2,4,4,4,4,4,4,2,5,3,5,3,5,5,1,5,4,5,3,5,3,5,3,5,3,4,4,3,4,3,4,3,4,3,5,1,5,3,5,3,4,4,3,5,3,4,3,4,3,4,3,4,2,4,4,2,54,66,40,33,45,238
Between 18 to 25,Female,Urban,Unmarried,Scheduled Caste,Above Poverty Line (APL),College,Government,Regular mode,Arts,Arts,First,Above Graduation,Graduate,No,No,3,2,1,2,5,2,5,2,3,3,1,1,3,3,3,2,5,2,4,2,3,1,4,2,3,5,3,1,1,3,3,2,1,4,3,3,3,3,3,5,4,2,4,4,4,3,1,4,4,3,2,5,5,3,3,2,4,3,4,5,3,3,4,3,1,3,41,45,38,31,41,196
Between 18 to 25,Female,Urban,Unmarried,General,Above Poverty Line (APL),College,Government,Regular mode,Arts,Not Applicable,Fifth,Intermediate,Intermediate,No,No,4,2,3,3,5,3,3,4,3,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,56,68,44,36,52,256
Between 18 to 25,Male,Rural,Unmarried,General,Above Poverty Line (APL),College,Government,Regular mode,Arts,Not Applicable,Fifth,Literate,Literate,No,No,4,2,2,2,3,3,3,4,4,3,2,4,3,4,3,2,4,2,2,4,3,2,3,2,3,2,4,2,4,3,3,3,3,3,4,2,4,4,4,2,2,2,2,4,4,4,4,5,5,5,5,5,5,3,4,2,3,2,2,4,3,3,3,3,3,4,48,49,33,42,39,211
Between 18 to 25,Female,Rural,Unmarried,General,Below Poverty Line (BPL),College,Government,Regular mode,Arts,Not Applicable,First,Above Graduation,Graduate,No,No,4,4,4,2,2,4,4,4,4,3,2,1,4,4,2,2,2,4,2,4,2,2,4,2,2,3,4,2,4,3,4,2,2,4,2,3,4,2,4,2,4,2,2,4,5,2,3,2,2,2,3,2,2,4,2,2,2,4,2,2,2,2,2,2,2,2,50,48,33,23,30,184
Between 18 to 25,Male,Rural,Unmarried,Scheduled Caste,Above Poverty Line (APL),University,Government,Regular mode,Arts,Arts,Fifth,Literate,Literate,No,No,4,4,4,4,4,4,4,5,5,4,5,4,4,4,5,5,5,5,4,3,4,5,4,4,4,3,5,5,5,4,4,3,3,1,1,1,4,4,5,5,1,4,2,5,4,4,5,5,3,5,2,5,3,4,4,2,5,4,5,5,2,5,2,5,2,2,69,70,33,36,47,255
Between 18 to 25,Female,Rural,Unmarried,Other Backward Classes (OBC),Above Poverty Line (APL),University,Government,Regular mode,Arts,Arts,Fifth,Intermediate,Intermediate,No,No,2,2,4,2,3,4,3,4,4,2,2,2,4,2,4,2,2,4,4,5,2,2,4,4,2,2,2,4,2,2,2,2,2,2,4,2,2,2,2,2,2,4,2,4,2,2,4,2,4,4,4,2,4,4,5,4,2,3,4,3,4,2,2,3,2,2,46,47,28,28,40,189
Between 18 to 25,Female,Rural,Unmarried,General,Below Poverty Line (BPL),College,Government,Regular mode,Arts,Arts,First,Intermediate,Graduate,No,No,4,4,5,5,3,5,5,5,3,4,4,4,4,3,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,3,3,3,5,4,4,4,4,3,3,4,5,5,3,4,4,3,5,4,5,5,5,3,4,5,3,3,3,5,5,3,5,3,5,66,65,42,38,52,263
Between 18 to 25,Female,Rural,Unmarried,General,Antyodaya,College,Government,Regular mode,Arts,Not Applicable,Fifth,Literate,Intermediate,No,No,4,4,3,5,3,4,5,3,2,5,4,5,5,4,5,4,3,3,5,3,5,4,5,4,5,5,4,4,5,3,5,4,4,4,4,3,4,5,4,5,4,5,5,4,5,4,3,4,3,4,5,4,4,3,4,3,4,4,4,4,3,4,4,4,4,3,65,71,47,36,48,267
Between 18 to 25,Female,Urban,Unmarried,Scheduled Caste,Below Poverty Line (BPL),College,Private,Regular mode,Arts,Arts,Third,Literate,Intermediate,No,No,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,4,2,2,2,3,4,2,2,2,2,2,2,2,2,2,5,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,34,39,27,18,26,144
Between 18 to 25,Female,Rural,Unmarried,Other Backward Classes (OBC),Antyodaya,College,Government,Regular mode,Arts,Not Applicable,First,Literate,Intermediate,No,No,4,2,2,5,4,3,3,4,4,4,2,4,2,4,3,4,4,2,3,4,5,3,3,4,3,4,3,4,3,4,3,4,4,3,3,4,3,4,2,5,3,4,2,5,5,4,5,3,4,3,4,2,5,4,4,4,5,3,4,5,4,4,5,4,5,4,54,60,38,35,55,242
Between 18 to 25,Female,Urban,Unmarried,General,Antyodaya,College,Government,Regular mode,Arts,Arts,First,Intermediate,Intermediate,No,No,4,3,4,5,4,4,4,5,4,3,3,3,4,3,2,4,4,5,4,4,3,2,2,4,2,2,4,3,3,2,3,4,4,4,4,3,3,2,2,2,2,3,4,4,3,3,3,3,3,4,4,4,4,2,2,2,2,3,4,2,4,4,2,2,2,2,59,55,33,31,33,211
Between 18 to 25,Female,Urban,Unmarried,General,Above Poverty Line (APL),College,Government,Regular mode,Arts,Arts,Third,Literate,Literate,No,No,4,4,4,4,3,4,3,2,3,2,2,2,4,2,3,3,3,3,4,3,2,2,2,4,2,2,2,4,2,2,2,3,2,2,2,2,3,2,2,2,2,3,4,3,2,2,2,3,2,4,2,2,4,2,4,2,2,4,4,2,2,2,2,4,2,2,49,44,27,23,34,177
Between 18 to 25,Female,Urban,Unmarried,General,Below Poverty Line (BPL),University,Private,Regular mode,Arts,Arts,Third,Literate,Literate,No,No,5,5,4,4,3,4,5,4,3,3,3,5,3,4,3,3,5,4,4,4,3,3,3,3,4,4,4,3,5,4,3,5,4,4,4,3,4,2,4,5,5,4,3,3,4,4,5,3,3,5,4,4,4,4,3,4,4,3,3,4,2,4,5,4,3,3,61,65,41,36,46,249
Between 18 to 25,Male,Urban,Unmarried,General,Below Poverty Line (BPL),College,Government,Regular mode,Arts,Non,Third,Intermediate,Above Graduation,No,No,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,16,17,11,18,26,88
Between 18 to 25,Male,Urban,Unmarried,General,Below Poverty Line (BPL),College,Government,Regular mode,Arts,Not Applicable,Fifth,Literate,Intermediate,No,No,4,4,4,4,4,4,2,4,4,4,2,2,2,3,3,3,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,53,66,44,36,52,251
Between 18 to 25,Male,Rural,Unmarried,Scheduled Tribe,Below Poverty Line (BPL),College,Government,Regular mode,Arts,Arts,Third,Literate,Literate,No,No,5,3,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,77,85,55,45,65,327
Between 18 to 25,Female,Urban,Unmarried,General,Above Poverty Line (APL),University,Government,Regular mode,Arts,Not Applicable,Third,Literate,Above Graduation,No,No,2,2,1,1,1,1,1,1,1,2,2,2,2,1,2,2,4,3,1,1,2,1,4,1,1,4,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,2,3,1,1,1,1,1,1,1,1,2,1,1,1,1,24,31,11,15,14,95
Between 18 to 25,Female,Rural,Married,General,Below Poverty Line (BPL),College,Government,Distance mode,Arts,Arts,First,Literate,Literate,No,No,4,2,4,1,1,4,4,1,1,4,1,1,1,4,2,2,4,4,5,2,2,2,4,4,2,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,2,4,4,3,4,4,4,3,3,3,3,4,4,4,3,3,3,5,37,59,44,31,46,217
Between 18 to 25,Female,Rural,Unmarried,General,Above Poverty Line (APL),University,Government,Regular mode,Arts,Arts,Fifth,Literate,Literate,No,No,3,4,4,2,4,3,4,4,2,3,4,4,4,4,4,4,4,2,2,2,3,4,2,4,2,2,3,4,4,2,4,4,3,4,4,2,4,3,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,3,4,4,3,3,4,3,4,57,51,41,33,48,230
Between 18 to 25,Male,Rural,Unmarried,Scheduled Caste,Above Poverty Line (APL),College,Private,Regular mode,B.A,B.A,Forth,Intermediate,Intermediate,No,No,5,2,4,3,2,4,4,4,4,2,2,2,2,4,2,2,3,3,2,3,2,2,4,4,2,4,2,2,2,4,2,3,2,3,3,3,3,2,2,2,3,2,2,4,4,2,2,2,4,2,2,2,2,2,4,2,2,4,4,2,2,2,2,3,3,2,48,46,29,22,34,179
Between 18 to 25,Female,Rural,Unmarried,General,Below Poverty Line (BPL),College,Government,Regular mode,Arts,Arts,Fifth,Intermediate,Intermediate,No,No,4,2,2,4,2,4,2,2,4,2,2,2,2,2,4,2,4,2,2,4,4,2,4,3,2,5,5,2,4,5,4,4,2,4,4,4,2,2,2,2,2,2,2,4,4,5,2,3,5,4,4,4,5,2,2,2,4,2,4,2,2,2,2,4,2,2,42,58,30,36,32,198
Between 18 to 25,Female,Rural,Unmarried,General,Below Poverty Line (BPL),College,Government,Regular mode,Arts,Not Applicable,First,Literate,Literate,No,No,5,4,2,1,2,5,5,5,5,5,3,4,3,4,1,2,5,3,4,3,3,1,5,4,2,4,2,4,4,5,4,3,4,3,4,3,3,4,1,3,4,3,4,4,5,3,5,4,5,5,4,4,4,5,4,2,1,4,4,4,3,5,3,4,3,5,56,60,36,39,47,238
Between 18 to 25,Male,Rural,Unmarried,General,Above Poverty Line (APL),College,Government,Regular mode,Arts,Not Applicable,Fifth,Literate,Literate,No,No,4,1,2,2,1,4,2,2,4,2,1,2,3,3,3,3,4,3,4,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,39,52,33,27,39,190
Between 18 to 25,Female,Rural,Unmarried,General,Antyodaya,College,Government,Regular mode,Arts,Arts,Fifth,Literate,Literate,No,No,4,1,3,3,5,5,4,5,4,2,2,2,4,2,3,3,4,4,4,3,2,4,4,4,2,2,3,4,2,3,2,3,2,4,5,4,4,2,2,4,3,2,2,4,3,2,4,4,4,4,2,2,3,2,4,2,4,2,4,2,2,4,2,4,2,2,52,52,36,28,36,204
Between 18 to 25,Female,Urban,Unmarried,Other Backward Classes (OBC),Below Poverty Line (BPL),College,Government,Regular mode,Arts,Arts,First,Literate,Literate,No,No,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,48,51,33,27,39,198
Between 18 to 25,Female,Rural,Unmarried,General,Antyodaya,College,Government,Regular mode,Arts,Not Applicable,First,Literate,Literate,No,No,4,3,5,4,3,5,4,5,5,5,3,4,5,3,4,3,4,4,3,2,1,1,1,4,1,3,4,5,4,3,2,3,3,5,5,4,5,3,3,5,4,5,5,5,2,2,3,2,4,4,2,3,3,1,1,1,1,1,1,1,2,1,1,1,1,1,65,48,49,25,14,201
Between 18 to 25,Female,Rural,Unmarried,General,Above Poverty Line (APL),College,Private,Regular mode,Arts,Not Applicable,First,Intermediate,Intermediate,No,No,4,2,4,2,3,4,2,2,4,2,2,1,4,3,4,2,2,4,4,4,2,2,4,4,2,2,2,4,2,2,2,4,2,4,4,4,3,4,4,4,4,2,4,2,2,3,4,2,2,2,4,4,4,2,2,2,2,2,4,2,2,1,1,1,1,1,45,48,39,27,23,182
Between 18 to 25,Female,Urban,Unmarried,General,Above Poverty Line (APL),College,Private,Regular mode,Arts,Arts,Fifth,Literate,Intermediate,No,No,4,3,4,3,3,3,3,4,4,3,3,4,3,4,3,4,3,4,3,3,3,3,3,3,3,4,4,4,3,5,4,4,4,5,4,3,5,4,5,3,4,4,3,4,4,3,3,5,5,4,4,4,3,3,5,3,4,3,4,3,4,3,3,3,3,3,55,60,44,35,44,238
Between 18 to 25,Male,Rural,Unmarried,General,Below Poverty Line (BPL),College,Government,Regular mode,Arts,Arts,First,Graduate,Graduate,No,No,2,4,4,4,2,4,4,2,2,4,3,4,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,2,3,2,3,3,3,2,2,4,3,3,3,3,3,3,3,3,3,2,2,1,1,4,2,2,2,2,2,2,3,3,47,52,32,27,28,186
Between 18 to 25,Female,Rural,Unmarried,General,Below Poverty Line (BPL),College,Government,Regular mode,Arts,Arts,Fifth,Literate,Literate,No,No,5,3,4,2,1,4,2,4,4,2,2,2,2,4,3,2,4,4,4,4,4,3,2,4,2,2,4,4,2,4,2,4,2,4,4,4,4,5,4,2,4,4,5,5,2,3,4,4,5,2,2,4,2,2,5,4,5,4,5,4,2,4,2,4,4,2,46,55,45,28,47,221
Between 18 to 25,Female,Rural,Unmarried,Scheduled Caste,Above Poverty Line (APL),College,Government,Distance mode,Arts,Arts,First,Literate,Intermediate,No,No,3,3,4,4,3,3,4,4,3,3,3,4,4,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,4,3,4,4,4,5,4,4,4,4,3,4,4,3,4,4,3,4,5,3,4,4,3,3,4,4,5,3,3,4,3,3,4,4,3,3,3,3,54,56,43,33,45,231
Between 18 to 25,Female,Urban,Unmarried,Scheduled Tribe,Above Poverty Line (APL),College,Government,Regular mode,Arts,Not Applicable,Fifth,Intermediate,Literate,No,No,2,3,2,3,2,1,2,4,3,3,3,3,4,2,3,2,2,2,2,2,2,3,3,4,2,2,4,3,3,3,3,3,3,4,4,5,4,4,3,2,5,2,4,4,3,3,3,4,5,4,3,4,2,3,5,3,3,4,4,3,5,3,3,3,3,3,42,46,41,31,45,205
Between 18 to 25,Male,Rural,Unmarried,General,Below Poverty Line (BPL),College,Private,Regular mode,Science,Arts,Fifth,Intermediate,Graduate,No,No,4,4,2,2,2,4,5,2,4,2,2,4,2,2,2,4,2,2,2,5,5,5,5,2,2,2,2,2,5,5,2,2,5,2,2,2,2,2,2,2,5,2,2,2,2,2,2,2,5,2,5,5,5,2,2,2,2,2,2,2,2,2,2,2,2,2,47,55,25,30,26,183
Between 18 to 25,Female,Urban,Unmarried,General,Below Poverty Line (BPL),College,Government,Regular mode,Arts,Arts,Third,Literate,Graduate,No,No,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,21,48,22,18,37,146
Between 18 to 25,Female,Urban,Unmarried,General,Above Poverty Line (APL),College,Government,Distance mode,Arts,Not Applicable,Third,Intermediate,Intermediate,No,No,4,4,4,2,2,4,2,2,2,4,4,2,2,2,2,2,4,4,2,2,3,3,3,2,1,1,2,2,2,2,2,2,2,4,4,4,4,2,2,2,2,2,2,4,2,2,4,4,2,4,2,4,4,2,4,1,3,2,4,2,4,2,1,2,2,4,44,39,32,28,33,176
Between 18 to 25,Male,Rural,Unmarried,Scheduled Caste,Above Poverty Line (APL),College,Government,Regular mode,Arts,Arts,Third,Intermediate,Graduate,No,No,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,64,68,44,36,52,264
Between 18 to 25,Male,Rural,Unmarried,Scheduled Caste,Below Poverty Line (BPL),College,Government,Regular mode,Arts,Not Applicable,Third,Literate,Literate,No,No,3,5,2,2,1,1,2,2,2,2,2,2,3,2,2,3,2,2,2,4,2,2,2,2,2,2,4,3,3,4,4,4,3,2,4,2,2,2,4,2,4,2,2,4,3,3,3,2,4,4,2,2,2,4,4,2,4,4,5,3,3,5,3,5,5,3,36,47,30,25,50,188
Between 18 to 25,Female,Urban,Unmarried,Other Backward Classes (OBC),Antyodaya,University,Private,Distance mode,Not Applicable,Not Applicable,Third,Intermediate,Intermediate,No,No,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,64,68,44,36,52,264
